id;score_channel;is_show_channel;channel_id;category_id;comment
4756;140;true;4336;6;comment
4757;150;true;4337;6;comment
4758;160;true;4338;6;comment
4759;170;true;4339;6;comment
4760;180;true;4340;6;comment
4761;190;true;4341;6;comment
4762;200;true;4342;6;comment
4763;210;true;4343;6;comment
4764;220;true;4344;6;comment
4765;230;true;4345;6;comment
4766;240;true;4346;6;comment
4767;250;true;4347;6;comment
4769;260;true;4348;6;comment
4770;70;true;4349;1006;comment
4771;80;true;4350;1006;comment
4772;90;true;4351;1006;comment
4773;100;true;4352;1006;comment
4774;100;true;4353;1001;comment
4775;100;true;4354;1001;comment
4776;100;true;4355;1001;comment
4777;10;true;4295;1049;comment
4778;70;true;4296;48;comment
4779;30;true;4297;48;comment
4780;20;true;2073;1049;comment
4781;30;true;4356;1049;comment
4782;30;true;4357;1049;comment
4783;40;true;4358;1049;comment
4784;100;true;4359;1049;comment
4785;60;true;4360;1049;comment
4786;70;true;4361;1049;comment
4787;80;true;4362;1049;comment
4788;90;true;4363;1049;comment
4789;110;true;4364;1049;comment
4790;120;true;4365;1049;comment
4791;130;true;4366;1049;comment
4792;40;true;4367;1049;comment
4793;140;true;4368;1049;comment
4794;150;true;2996;1049;comment
4795;160;true;2187;1049;comment
4796;170;true;4369;1049;comment
4797;80;true;4370;1049;comment
4798;180;true;4371;1049;comment
4799;200;true;4372;1049;comment
4800;190;true;4373;1049;comment
4801;200;true;4374;1049;comment
4802;70;true;4375;1049;comment
4803;210;true;4376;1049;comment
4805;220;true;4377;1049;comment
4806;230;true;4378;1049;comment
4807;240;true;4379;1049;comment
4808;250;true;4380;1049;comment
4809;260;true;4381;1049;comment
4810;200;true;4382;1049;comment
4811;280;true;4383;1049;comment
4812;290;true;4384;1049;comment
4813;300;true;4385;1049;comment
4814;310;true;4386;1049;comment
4815;320;true;4387;1049;comment
4816;330;true;4388;1049;comment
4817;340;true;4389;1049;comment
4818;350;true;4390;1049;comment
4819;360;true;4391;1049;comment
4820;370;true;4392;1049;comment
4821;380;true;4393;1049;comment
4822;240;true;4394;1049;comment
4823;400;true;4395;1049;comment
4824;410;true;4396;1049;comment
4825;420;true;4397;1049;comment
4826;430;true;4398;1049;comment
4827;250;true;4399;1049;comment
4828;450;true;4400;1049;comment
4829;460;true;4401;1049;comment
4830;470;true;4402;1049;comment
4831;480;true;4404;1049;comment
4832;260;true;4405;1049;comment
4833;510;true;4406;1049;comment
4834;520;true;4407;1049;comment
4835;530;true;4408;1049;comment
4836;540;true;4409;1049;comment
4837;550;true;4410;1049;comment
4838;280;true;4411;1049;comment
4839;570;true;4412;1049;comment
4840;580;true;4413;1049;comment
4841;590;true;4414;1049;comment
4842;600;true;4415;1049;comment
4843;610;true;4416;1049;comment
4844;620;true;4417;1049;comment
4845;630;true;4418;1049;comment
4846;640;true;4419;1049;comment
4847;650;true;4420;1049;comment
4848;660;true;4421;1049;comment
4849;380;true;4422;1049;comment
4850;680;true;4423;1049;comment
4851;690;true;4424;1049;comment
4852;700;true;4425;1049;comment
4853;710;true;4426;1049;comment
4854;720;true;4427;1049;comment
4855;730;true;4428;1049;comment
4856;740;true;4429;1049;comment
4857;750;true;4430;1049;comment
4858;390;true;4431;1049;comment
4859;770;true;4432;1049;comment
4860;780;true;4433;1049;comment
4861;790;true;4434;1049;comment
4862;800;true;4435;1049;comment
4863;810;true;4436;1049;comment
4864;820;true;4437;1049;comment
4865;830;true;4438;1049;comment
4866;840;true;4439;1049;comment
4867;850;true;4440;1049;comment
4868;860;true;4441;1049;comment
4869;870;true;4442;1049;comment
4870;880;true;4443;1049;comment
4871;890;true;4444;1049;comment
4872;900;true;4445;1049;comment
4873;910;true;4446;1049;comment
4874;920;true;4447;1049;comment
4875;930;true;4448;1049;comment
4876;940;true;4449;1049;comment
4877;950;true;4450;1049;comment
4878;960;true;4451;1049;comment
4879;970;true;4452;1049;comment
4880;980;true;4453;1049;comment
4881;990;true;4454;1049;comment
4882;1000;true;4455;1049;comment
4883;1010;true;4456;1049;comment
4884;1020;true;4457;1049;comment
4885;1030;true;4458;1049;comment
4886;1040;true;4458;1049;comment
4887;1050;true;4459;1049;comment
4888;1060;true;4460;1049;comment
4889;1070;true;4461;1049;comment
4890;1080;true;4462;1049;comment
4891;1090;true;4463;1049;comment
4892;1100;true;4464;1049;comment
4893;1110;true;4465;1049;comment
4894;1120;true;4466;1049;comment
4895;1130;true;4467;1049;comment
4896;1140;true;4468;1049;comment
4897;1150;true;4469;1049;comment
4898;1160;true;4470;1049;comment
4899;1170;true;4471;1049;comment
4900;1180;true;4472;1049;comment
4901;1190;true;4473;1049;comment
4902;1200;true;4474;1049;comment
4903;1210;true;4475;1049;comment
4904;1220;true;4476;1049;comment
4905;1230;true;4477;1049;comment
4906;1240;true;4478;1049;comment
4907;1250;true;4479;1049;comment
4908;1260;true;4480;1049;comment
4909;1270;true;4481;1049;comment
4910;1280;true;4482;1049;comment
4911;1290;true;4483;1049;comment
4912;1300;true;4484;1049;comment
4913;1310;true;4485;1049;comment
4914;1320;true;4486;1049;comment
4915;1330;true;4487;1049;comment
4916;1340;true;4488;1049;comment
4917;1350;true;4489;1049;comment
4918;1360;true;4490;1049;comment
4919;1370;true;4491;1049;comment
4920;1380;true;4492;1049;comment
4921;1390;true;4493;1049;comment
4922;1400;true;4494;1049;comment
4923;1410;true;4495;1049;comment
4924;1420;true;4496;1049;comment
4925;1430;true;4498;1049;comment
4926;1450;true;4499;1049;comment
4927;1460;true;4500;1049;comment
4928;1470;true;4501;1049;comment
4929;1480;true;4502;1049;comment
4930;1490;true;4503;1049;comment
4931;1500;true;4504;1049;comment
4932;1510;true;4505;1049;comment
4933;1520;true;4506;1049;comment
4934;10;true;4507;1050;comment
4935;20;true;4508;1050;comment
4936;30;true;4509;1050;comment
4937;40;true;4510;1050;comment
4938;50;true;4511;1050;comment
4939;60;true;4512;1050;comment
4940;70;true;4513;1050;comment
4941;80;true;4514;1050;comment
4942;90;true;4515;1050;comment
4943;100;true;4516;1050;comment
4944;110;true;4517;1050;comment
4945;120;true;4518;1050;comment
4946;140;true;4520;1050;comment
4947;150;true;4521;1050;comment
4948;160;true;4522;1050;comment
4949;170;true;4523;1050;comment
4950;180;true;4524;1050;comment
4951;190;true;4525;1050;comment
4952;200;true;4526;1050;comment
4953;210;true;4527;1050;comment
4954;220;true;4528;1050;comment
4955;230;true;4529;1050;comment
4956;240;true;4530;1050;comment
4957;250;true;4531;1050;comment
4958;260;true;4532;1050;comment
4959;270;true;4533;1050;comment
4960;280;true;4534;1050;comment
4961;290;true;4535;1050;comment
4962;300;true;4536;1050;comment
4963;310;true;4537;1050;comment
4964;320;true;4538;1050;comment
4965;330;true;4539;1050;comment
4966;340;true;4540;1050;comment
4967;350;true;4541;1050;comment
4968;360;true;4542;1050;comment
4969;370;true;4543;1050;comment
4970;380;true;4544;1050;comment
4971;390;true;4545;1050;comment
4972;400;true;4546;1050;comment
4973;410;true;4547;1050;comment
4974;420;true;4548;1050;comment
4975;430;true;4549;1050;comment
4976;440;true;4550;1050;comment
4977;450;true;4551;1050;comment
4978;460;true;4552;1050;comment
4979;470;true;4553;1050;comment
4980;480;true;4554;1050;comment
4981;490;true;4555;1050;comment
4982;500;true;4556;1050;comment
4983;510;true;4557;1050;comment
4984;520;true;4558;1050;comment
4985;530;true;4559;1050;comment
4986;540;true;4560;1050;comment
4987;550;true;4561;1050;comment
4988;560;true;4562;1050;comment
4989;570;true;4563;1050;comment
4990;580;true;4564;1050;comment
4991;590;true;4565;1050;comment
4992;600;true;4566;1050;comment
4993;610;true;4567;1050;comment
4994;620;true;4568;1050;comment
4995;630;true;4569;1050;comment
4996;640;true;4570;1050;comment
4997;650;true;4571;1050;comment
4998;660;true;4572;1050;comment
4999;670;true;4573;1050;comment
5000;680;true;4574;1050;comment
5001;690;true;4575;1050;comment
5002;700;true;4576;1050;comment
5003;710;true;4577;1050;comment
5004;720;true;4578;1050;comment
5005;730;true;4579;1050;comment
5006;740;true;4580;1050;comment
